gene_id,Peromyscus_F_1,Peromyscus_F_2,Peromyscus_M_1,Peromyscus_M_2,Chromosome,species
Obsl1,1.334078711,1.040653134,1.913311769,1.573163863,Autosome,Peromyscus
Tmem198,1.086569218,1.012736346,1.2803761,1.041054042,Autosome,Peromyscus
Chpf,1.41712732,0.968610775,1.020491078,1.357765434,Autosome,Peromyscus
Asic4,9.482292607,10.3735922,12.86480397,7.254606312,Autosome,Peromyscus
LOC114709296,10.14389718,9.232675445,8.380349972,5.475482035,Autosome,Peromyscus
Gmppa,0.405990941,0.461292096,0.607499524,0.313802567,Autosome,Peromyscus
Speg,1.409268035,0.995500521,1.406197153,1.732314351,Autosome,Peromyscus
LOC114709295,1.36807341,1.01037462,1.801447763,2.714057358,Autosome,Peromyscus
Des,3.681860492,3.079430252,2.877082241,4.057928993,Autosome,Peromyscus
LOC114709314,2.168088308,2.033474942,2.485173594,1.586194692,Autosome,Peromyscus
Resp18,5.722268462,5.755151403,5.366463031,5.220065701,Autosome,Peromyscus
Ptprn,3.977200662,4.005098304,4.784025062,2.776604286,Autosome,Peromyscus
Dnajb2,0.407075888,0.404709223,0.331633618,0.407868165,Autosome,Peromyscus
Tuba4a,0.117124371,0.465773724,0,0.105617093,Autosome,Peromyscus
Stk16,1.017770394,0.632408289,0.266512425,0,Autosome,Peromyscus
Glb1l,0.501383326,0.33231225,0.218819632,0.301415489,Autosome,Peromyscus
Ankzf1,0.306878281,0.488150635,0.45000965,0.33207359,Autosome,Peromyscus
Atg9a,0.511928769,0.508952508,0.421310055,0.164868787,Autosome,Peromyscus
Abcb6,0.048167974,0.287327606,0.201811547,0.086871099,Autosome,Peromyscus
Zfand2b,0.390961435,0.647814094,0.546009621,0.470066818,Autosome,Peromyscus
Retreg2,0.256629493,0.170091664,0.089601019,0,Autosome,Peromyscus
Cnppd1,0.88833496,0.543489442,0.787324427,0.30809904,Autosome,Peromyscus
Slc23a3,0.089179506,0.221652582,0.420344352,0.844386539,Autosome,Peromyscus
Nhej1,1.141052957,1.429368045,1.52026939,1.761556187,Autosome,Peromyscus
Ihh,38.03612583,35.05764767,33.75368966,18.69779435,Autosome,Peromyscus
Cfap65,10.76701194,10.79502019,10.58227505,8.840393574,Autosome,Peromyscus
LOC119088902,29.40686381,25.42843193,22.06269749,14.43055555,Autosome,Peromyscus
Cryba2,24.67608491,24.10032974,24.93573377,12.84128939,Autosome,Peromyscus
Fev,27.47046804,22.65059043,22.49362152,10.91127335,Autosome,Peromyscus
Cdk5r2,18.63750994,16.12722738,16.2680044,9.803736295,Autosome,Peromyscus
Wnt10a,13.62148875,14.82332389,14.73037672,7.436315531,Autosome,Peromyscus
Wnt6,11.05855352,10.57878031,9.562817344,6.406474384,Autosome,Peromyscus
Prkag3,5.534028555,5.863372898,6.082203875,4.652166248,Autosome,Peromyscus
LOC114709306,4.238151795,4.277840381,3.015941112,2.421420657,Autosome,Peromyscus
Ttll4,0.061138922,0.08683353,0.091484469,0.047256105,Autosome,Peromyscus
Stk36,0.105776681,0.105161714,0.193890095,0.2265377,Autosome,Peromyscus
Rnf25,0.136145205,0,0.285206871,0,Autosome,Peromyscus
LOC114709312,0.411808949,0.511768459,0.21567183,0.278512045,Autosome,Peromyscus
Znf142,0.117445788,0.05838149,0.164022649,0.105906931,Autosome,Peromyscus
Plcd4,2.818606272,2.869338438,3.217488252,2.983052886,Autosome,Peromyscus
Usp37,0.407343416,0.285135597,0.378775183,0.38981173,Autosome,Peromyscus
Cnot9,0.357770022,0.355690012,0.166551699,0.071693267,Autosome,Peromyscus
LOC114709345,0,0,0,0,Autosome,Peromyscus
Vil1,0.28157626,0.408244706,0.36866651,0.412606761,Autosome,Peromyscus
Ctdsp1,0.528454252,0.150109119,0.079074599,0.13615271,Autosome,Peromyscus
Slc11a1,0.643386189,0.559689952,0.547548688,0.580174548,Autosome,Peromyscus
LOC114709315,1.216616347,2.144190151,1.795644252,2.393641705,Autosome,Peromyscus
Pnkd,0.651454453,0.817816824,0.798010811,0.756715407,Autosome,Peromyscus
LOC114709342,0,2.468961104,0.867067503,4.47881846,Autosome,Peromyscus
Tmbim1,0.979248624,1.379203555,0.982963073,0.625485992,Autosome,Peromyscus
LOC114709343,0,0.082650407,0.43538646,0.299863914,Autosome,Peromyscus
Gpbar1,0.485092038,0,0.254051515,0.218716269,Autosome,Peromyscus
Arpc2,0.026843068,0.053374014,0.028116405,0.01210289,Autosome,Peromyscus
